procWeight, totalSymbols, maximumResourceConsumption, reproductionLength, localCELength, stackHeight, numReturns
0.1, 100000000, 27004340, 27004309, 27004308, 1, 3705150
0.01, 100000000, 89341824, 89341824, 89341823, 1, 397147
0.01, 100000000, 89299952, 89299952, 89299951, 1, 396206
0.01, 100000000, 89874386, 89874382, 89874381, 1, 396720
5.0, 100000000, 6236, 4209, 0, 1780, 39997503
1.0, 100000000, 506, 192, 7, 32, 22219258
5.0, 100000000, 755, 535, 2, 207, 39997400
1.0, 100000000, 518, 229, 6, 32, 22228835
0.01, 1000000000, 893458315, 893458315, 893458314, 1, 3969603
0.1, 1, 1, 1, 0, 1, 0
0.1, 10, 10, 10, 9, 1, 0
0.1, 100, 79, 79, 78, 1, 1
0.1, 1000, 383, 383, 39, 3, 35
0.1, 10000, 2686, 2621, 27, 4, 391
0.1, 100000, 26357, 26351, 50, 3, 3755
0.1, 1000000, 271787, 271543, 11, 2, 36961
0.01, 1000000000, 892881110, 892881110, 892881109, 1, 3967101
0.1, 1, 1, 1, 0, 1, 0
0.1, 10, 10, 10, 6, 2, 0
0.1, 100, 58, 42, 7, 3, 5
0.1, 1000, 480, 480, 39, 4, 32
0.1, 10000, 3199, 3166, 3165, 1, 361
0.1, 100000, 28034, 28004, 102, 2, 3639
0.1, 1000000, 266204, 266166, 69, 2, 36891
0.1, 10000000, 2726052, 2725941, 25, 2, 370073
0.1, 1000000000, 270396942, 270396849, 6, 3, 37042450
0.5, 1, 1, 1, 0, 1, 0
0.5, 10, 10, 10, 9, 1, 0
0.5, 100, 74, 61, 0, 10, 6
0.5, 1000, 156, 74, 6, 8, 136
0.5, 10000, 250, 167, 8, 11, 1413
0.5, 100000, 325, 178, 2, 15, 14357
0.5, 1000000, 449, 130, 3, 7, 143542
0.1, 10000000, 2653087, 2653070, 33, 3, 371114
0.5, 10000000, 1412, 1330, 5, 18, 1428583
0.01, 1000000000, 898791011, 898791011, 898791010, 1, 3968078
0.1, 1, 1, 1, 0, 1, 0
0.1, 10, 10, 10, 1, 2, 0
0.1, 100, 50, 50, 9, 3, 5
0.1, 1000, 562, 484, 42, 2, 30
0.1, 10000, 2836, 2835, 11, 3, 366
0.1, 100000, 28960, 28928, 28927, 1, 3846
0.1, 1000000, 290848, 290806, 4, 2, 37276
5.0, 1000000000, 6864, 4377, 2, 1837, 400007928
0.01, 1, 1, 1, 0, 1, 0
0.01, 10, 10, 10, 9, 1, 0
0.01, 100, 100, 100, 99, 1, 0
0.01, 1000, 962, 962, 961, 1, 1
0.01, 10000, 8584, 8584, 8583, 1, 42
0.01, 100000, 88618, 88618, 88617, 1, 396
0.01, 1000000, 885822, 885822, 885821, 1, 4035
0.1, 10000000, 2940683, 2940620, 2940619, 1, 370104
0.01, 10000000, 8897636, 8897636, 8897635, 1, 39909
5.0, 1000000000, 828, 451, 2, 183, 400004840
0.01, 1, 1, 1, 0, 1, 0
0.01, 10, 10, 10, 9, 1, 0
0.01, 100, 71, 71, 70, 1, 1
0.01, 1000, 665, 665, 664, 1, 6
0.01, 10000, 8963, 8917, 8916, 1, 39
0.01, 100000, 90169, 90169, 90168, 1, 381
0.01, 1000000, 895846, 895846, 895845, 1, 3939
1.0, 1000000000, 550, 319, 3, 33, 222215475
2.0, 1, 1, 1, 0, 1, 0
2.0, 10, 10, 10, 3, 5, 0
2.0, 100, 55, 49, 1, 26, 15
2.0, 1000, 305, 294, 2, 99, 235
2.0, 10000, 387, 247, 1, 85, 2990
2.0, 100000, 393, 313, 1, 98, 30594
2.0, 1000000, 476, 304, 5, 104, 307360
0.01, 10000000, 8942884, 8942884, 8942883, 1, 39581
2.0, 10000000, 506, 313, 0, 97, 3077521
1.0, 1000000000, 606, 311, 3, 34, 222235140
2.0, 1, 1, 1, 0, 1, 0
2.0, 10, 10, 10, 0, 6, 0
2.0, 100, 73, 67, 0, 29, 15
2.0, 1000, 257, 257, 1, 82, 267
2.0, 10000, 306, 192, 2, 64, 3076
2.0, 100000, 341, 186, 8, 56, 30840
2.0, 1000000, 391, 252, 0, 74, 307439
2.0, 10000000, 438, 162, 0, 52, 3078435
0.1, 100000000, 27331366, 27331364, 27331363, 1, 3702376
0.1, 100000000, 26652312, 26652227, 58, 2, 3704690
0.5, 100000000, 11781, 11586, 9, 14, 14286100
0.01, 100000000, 89054245, 89054245, 4, 2, 397545
0.1, 100000000, 29459151, 29459146, 15, 3, 3700197
0.01, 100000000, 89376684, 89376684, 89376683, 1, 396588
2.0, 100000000, 569, 239, 1, 84, 30772149
2.0, 100000000, 463, 261, 0, 73, 30775435
0.1, 1000000000, 273645614, 273645554, 53, 2, 37026361
0.5, 1, 1, 1, 0, 1, 0
0.5, 10, 10, 10, 0, 4, 0
0.5, 100, 40, 29, 2, 7, 9
0.5, 1000, 134, 83, 8, 10, 126
0.5, 10000, 240, 148, 1, 14, 1393
0.5, 100000, 335, 85, 2, 11, 14319
0.5, 1000000, 584, 293, 1, 12, 143038
0.01, 1000000000, 890730330, 890730330, 890730329, 1, 3971201
0.1, 1, 1, 1, 0, 1, 0
0.1, 10, 10, 10, 9, 1, 0
0.1, 100, 83, 83, 20, 3, 3
0.1, 1000, 385, 355, 14, 2, 28
0.1, 10000, 2216, 2177, 47, 2, 372
0.1, 100000, 25606, 25577, 40, 5, 3724
0.1, 1000000, 262002, 262002, 262001, 1, 36999
0.1, 1000000000, 266285304, 266285300, 45, 2, 37034188
0.5, 1, 1, 1, 0, 1, 0
0.5, 10, 10, 10, 9, 1, 0
0.5, 100, 51, 51, 7, 4, 7
0.5, 1000, 146, 146, 10, 14, 115
0.5, 10000, 247, 186, 11, 13, 1456
0.5, 100000, 311, 237, 6, 17, 14350
0.5, 10000000, 1851, 1618, 5, 15, 1428339
0.5, 1000000, 482, 304, 5, 12, 142698
0.1, 10000000, 2590541, 2590447, 2590446, 1, 370231
0.5, 10000000, 1087, 884, 2, 19, 1428503
0.5, 1000000000, 117301, 117097, 0, 13, 142839891
1.0, 1, 1, 1, 0, 1, 0
1.0, 10, 9, 9, 2, 4, 1
1.0, 100, 48, 29, 6, 9, 17
1.0, 1000, 154, 132, 6, 28, 201
1.0, 10000, 277, 109, 0, 20, 2196
1.0, 100000, 306, 233, 0, 38, 22381
1.0, 1000000, 369, 105, 7, 16, 222687
1.0, 10000000, 379, 260, 0, 41, 2221942
2.0, 1000000000, 586, 259, 2, 62, 307683751
5.0, 1, 1, 1, 0, 1, 0
5.0, 10, 10, 10, 0, 8, 0
5.0, 100, 77, 77, 0, 50, 14
5.0, 1000, 401, 401, 0, 203, 283
5.0, 10000, 953, 807, 0, 369, 3770
5.0, 100000, 1342, 1128, 0, 502, 39822
5.0, 1000000, 1420, 925, 1, 406, 399839
5.0, 10000000, 1552, 1185, 5, 506, 3999633
2.0, 1000000000, 519, 233, 1, 55, 307698975
5.0, 1, 1, 1, 0, 1, 0
5.0, 10, 10, 10, 1, 5, 0
5.0, 100, 82, 76, 1, 48, 11
5.0, 1000, 326, 318, 0, 156, 314
5.0, 10000, 575, 492, 0, 209, 3909
5.0, 100000, 634, 454, 0, 207, 39957
5.0, 1000000, 730, 489, 0, 197, 400008
5.0, 10000000, 768, 417, 5, 185, 4000585
0.5, 100000000, 15252, 14990, 0, 13, 14286144
0.01, 1000000000, 893572182, 893572182, 893572181, 1, 3968762
0.1, 1, 1, 1, 0, 1, 0
0.1, 10, 10, 10, 9, 1, 0
0.1, 100, 69, 46, 19, 4, 3
0.1, 1000, 255, 248, 7, 5, 38
0.1, 10000, 2677, 2641, 4, 3, 367
0.1, 100000, 27969, 27960, 66, 2, 3718
0.1, 1000000, 268397, 268350, 268349, 1, 37424
0.1, 100000000, 25784905, 25784867, 1, 3, 3704027
0.1, 1000000000, 294327120, 294327114, 15, 2, 37028027
0.5, 1, 1, 1, 0, 1, 0
0.5, 10, 10, 10, 9, 1, 0
0.5, 100, 68, 68, 4, 7, 7
0.5, 1000, 153, 143, 8, 20, 118
0.5, 10000, 269, 94, 3, 10, 1368
0.5, 100000, 333, 190, 18, 12, 14022
0.5, 1000000, 462, 250, 0, 9, 142504
0.5, 100000000, 6608, 6466, 1, 21, 14285630
0.1, 10000000, 2694361, 2694361, 25, 2, 370973
0.5, 10000000, 2559, 2266, 2, 11, 1428532
1.0, 100000000, 498, 337, 0, 29, 22224907
5.0, 100000000, 1690, 1081, 0, 469, 39998928
5.0, 100000000, 834, 513, 2, 201, 39999933
0.1, 100000000, 27045521, 27045482, 27045481, 1, 3703363
0.5, 100000000, 22471, 22240, 0, 11, 14290256
0.1, 1000000000, 257674076, 257674063, 59, 2, 37038187
5.0, 1, 1, 1, 0, 1, 0
5.0, 10, 10, 10, 2, 7, 0
